['Nome', 'Partido', 'Número']
['Fabio Monge', 'Avante', 7018]
['Fábio Moreira', 'PDT', 1211]
['Fábio Paciullo', 'PSC', 2019]
['Fábio Patusso', 'PMN', 3323]
['Fabio Placido', 'Novo', 3013]
['Fabio Ramos', 'PSB', 4035]
['Fábio Renato', 'Novo', 3034]
['Fabio Sato', 'MDB', 1509]
['Fabio Soares', 'PSDB', 4532]
['Fabio Teruel', 'MDB', 1580]
['Fabio Zan', 'Novo', 3033]
['Fabiola Pinto', 'PROS', 9091]
['Fabricio Carvalho', 'Patriota', 5179]
['Fabricio da Aeronáutica', 'MDB', 1521]
['Faccas', 'PDT', 1277]
['Farid Madi', 'Podemos', 1912]
['Fátima Baulé', 'Novo', 3024]
['Fatima Portella', 'Novo', 3022]
['Fausto Peres', 'Podemos', 1921]
['Fausto Pinato', 'PP', 1123]
['Favero', 'PSD', 5595]
['Fazito', 'PMB', 3535]
['Fedossi', 'PTB', 1451]
['Feliciano', 'Patriota', 5177]
['Felipe Becari', 'União', 4407]
['Felipe Folgosi', 'PL', 2234]
['Felipe Lintz', 'Patriota', 5152]
['Felipe Sorocaba', 'PSB', 4044]
['Felipe Takashi', 'MDB', 1538]
['Fernanda Alves', 'Patriota', 5120]
['Fernanda Araújo', 'PSD', 5529]
['Fernanda Curti', 'PT', 1387]
['Fernanda Garcia', 'PSOL', 5023]
['Fernanda Movimento Papo de Lei', 'Republicanos', 1045]
['Fernanda Prado', 'PT', 1334]
['Fernanda Rainha', 'PROS', 9050]
['Fernando Capez', 'União', 4456]
['Fernando Chiarelli', 'Patriota', 5142]
['Fernando Dias', 'Patriota', 5153]
['Fernando Dini', 'MDB', 1527]
['Fernando Favoretto', 'PSC', 2015]
['Fernando Ferrari', 'PTB', 1445]
['Fernando Holiday', 'Novo', 3055]
['Fernando Marangoni', 'União', 4440]
['Fernando Mestre Sala', 'PSDB', 4512]
['Filipe Mansinho', 'Republicanos', 1075]
['Fiuza Bitcoin', 'Novo', 3003]
['Flavia Bitencourt', 'Podemos', 1994]
['Flavia Camargo', 'Podemos', 1949]
['Flávia Lancha', 'PSD', 5525]
['Flavia Prado', 'Patriota', 5175]
['Flavinho', 'PSD', 5530]
['Flavinho Ampermag', 'Patriota', 5123]
['Flávio Alecrim', 'PMN', 3343]
['Flávio Casimiro', 'PSOL', 5044]
['Flavio da Tanato', 'AGIR', 3676]
["Flávio SantAnna PCD", 'PSB', 4055]
['Flávio Silva', 'PSOL', 5067]
['Flavius', 'PRTB', 2820]
['Floriano Junior', 'PSB', 4071]
['Fran Drumond', 'PSB', 4075]
['Fran Duran', 'PMN', 3337]
['Fran Triani', 'União', 4406]
['Francisco José', 'PMN', 3369]
['Francisco Maranhão e Cia', 'PSOL', 5060]
['Franklin', 'Podemos', 1993]
['Fred Machado', 'PSDB', 4547]
['Frederico D Avila', 'PL', 2288]
['Fuinha Robson Calabianqui', 'PL', 2215]
['Gabriel Marques', 'PCO', 2949]
['Gabriel Marucci', 'PCB', 2121]
['Gaguinho', 'PTB', 1417]
['Galega do Brás', 'União', 4457]
['Gari Ester Lopes', 'União', 4412]
['Gauss Albert', 'PP', 1166]
['Gefferson Luis', 'Avante', 7056]
['General Peternelli', 'União', 4444]
['Generson Faustino', 'PROS', 9016]
['Geninho Zuliani', 'União', 4450]
['Geovania Queiroz', 'PP', 1153]
['Geraldo Lima', 'PP', 1127]
['Geraldo J Gonçalves', 'PDT', 1215]
['Geraldo Martins', 'PT', 1361]
['Geraldo Rodrigues', 'AGIR', 3604]
['Gil do Conselho', 'União', 4404]
['Gil Freire', 'PT', 1338]
['Gilberto Boby Boby', 'PT', 1338]
['Gilberto Cobrador', 'AGIR', 3639]
['Gilberto Nascimento', 'PSC', 2020]
['Gilmar', 'Patriota', 5154]
['Gilmar Gimenes', 'PL', 2252]
['Gilmar Rotta', 'PP', 1119]
['Gilmara Vanzo', 'PP', 1162]
['Gilson do Sindicato', 'PDT', 1251]
['Gilvandro', 'PDT', 1220]
